neighborhood,current_cases,lat,long,ds
Eagle Rock,2,34.1322,-118.2117,2020-03-23
East Hollywood,1,34.0948,-118.2910,2020-03-23
East Los Angeles,2,34.0316,-118.1724,2020-03-23
Echo Park,2,34.0782,-118.2606,2020-03-23
El Segundo,1,33.9192,-118.4165,2020-03-23
Encino,10,34.1517,-118.5214,2020-03-23
Exposition Park,1,34.0147,-118.2872,2020-03-23
Florence,1,33.9745,-118.2481,2020-03-23
Gardena,1,33.8938,-118.3080,2020-03-23
Glendale,9,34.1425,-118.2551,2020-03-23
Glendora,1,34.1361,-117.8653,2020-03-23
Granada Hills,5,34.2794,-118.5022,2020-03-23
Hancock Park,6,34.0745,-118.3304,2020-03-23
Hawthorne,3,33.9194,-118.3540,2020-03-23
Hollywood,14,34.1016,-118.3337,2020-03-23
Hollywood Hills,7,34.1341,-118.3215,2020-03-23
Hyde Park,1,33.9819,-118.3309,2020-03-23
Inglewood,3,33.9610,-118.3554,2020-03-23
Koreatown,3,34.0578,-118.3009,2020-03-23
La Canada Flintridge,2,34.2091,-118.2001,2020-03-23
La Mirada,3,33.9190,-118.0105,2020-03-23
La Verne,2,34.1202,-117.7704,2020-03-23
Lake Balboa,2,34.1839,-118.4954,2020-03-23
Lakewood,1,33.8536,-118.1340,2020-03-23
Lancaster,7,34.6868,-118.1542,2020-03-23
Lawndale,2,33.8881,-118.3535,2020-03-23
Lincoln Heights,1,34.0706,-118.2051,2020-03-23
Lomita,8,33.7922,-118.3151,2020-03-23
Los Feliz,2,34.1124,-118.2851,2020-03-23
Lynwood,2,33.9293,-118.2139,2020-03-23
Manhattan Beach,9,33.8812,-118.4072,2020-03-23
Mar Vista,6,34.0037,-118.4690,2020-03-23
Melrose,19,34.0837,-118.3366,2020-03-23
Miracle Mile,5,34.0597,-118.3500,2020-03-23
Monterey Park,3,34.0625,-118.1228,2020-03-23
North Hollywood,9,34.1870,-118.3813,2020-03-23
Northridge,1,34.2379,-118.5302,2020-03-23
Pacific Palisades,8,34.0481,-118.5265,2020-03-23
Palmdale,1,34.5794,-118.1093,2020-03-23
