CITY/COMMUNITY (if in Los Angeles City),new_cases,total_cases,lat,long,date
Westlake,,1,34.1458,-118.8056,3/22/20
Westwood,,5,34.0561,-118.4297,3/22/20
Whittier,,2,33.9679,-118.0189,3/22/20
Wilmington,,1,33.7800,-118.2617,3/22/20
Winnetka,,1,34.2059,-118.5754,3/22/20
Woodland Hills,,5,34.1659,-118.6104,3/22/20
- Under Investigation,,38,#N/A,#N/A,3/22/20
Pasadena,,3,34.1561,-118.1319,3/22/20
Long Beach,,15,33.7701,-118.1937,3/22/20
Agoura Hills,,1,34.1364,-118.7745,3/23/20
Alhambra,,4,34.0953,-118.1270,3/23/20
Altadena,,5,34.1902,-118.1313,3/23/20
Arcadia,,3,34.1397,-118.0353,3/23/20
Athens,,1,33.9200,-118.2812,3/23/20
Baldwin Hills,,3,34.0047,-118.3415,3/23/20
Bellflower,,3,33.8822,-118.1180,3/23/20
Beverly Hills,,12,34.0736,-118.4004,3/23/20
Beverlywood,,7,34.0409,-118.3919,3/23/20
Boyle Heights,,5,34.0339,-118.2054,3/23/20
Brentwood,,27,34.0519,-118.4731,3/23/20
Burbank,,2,34.1808,-118.3090,3/23/20
Calabasas,,3,34.1383,-118.6608,3/23/20
Canoga Park,,2,34.2011,-118.5981,3/23/20
Carson,,6,33.8374,-118.2559,3/23/20
Castaic,,1,34.4889,-118.6229,3/23/20
Century City,,4,34.0556,-118.4179,3/23/20
Century Palms/Cove,,1,33.9461,-118.2732,3/23/20
Cerritos,,2,33.8584,-118.0648,3/23/20
Cloverdale/Cochran,,1,34.0626,-118.3465,3/23/20
Compton,,1,33.8958,-118.2201,3/23/20
Covina,,1,34.0900,-117.8903,3/23/20
Crestview,,6,34.0458,-118.3816,3/23/20
Culver City,,5,34.0211,-118.3965,3/23/20
Del Rey,,2,33.9878,-118.4229,3/23/20
Diamond Bar,,2,34.0286,-117.8103,3/23/20
Downtown,,2,34.0422,-118.2488,3/23/20
Duarte,,1,34.1607,-117.9504,3/23/20
Eagle Rock,,2,34.1322,-118.2117,3/23/20
East Hollywood,,1,34.0948,-118.2910,3/23/20
East Los Angeles,,2,34.0316,-118.1724,3/23/20
Echo Park,,2,34.0782,-118.2606,3/23/20
El Segundo,,1,33.9192,-118.4165,3/23/20
Encino,,10,34.1517,-118.5214,3/23/20
Exposition Park,,1,34.0147,-118.2872,3/23/20
Florence,,1,33.9745,-118.2481,3/23/20
Gardena,,1,33.8938,-118.3080,3/23/20
Glendale,,9,34.1425,-118.2551,3/23/20
Glendora,,1,34.1361,-117.8653,3/23/20
Granada Hills,,5,34.2794,-118.5022,3/23/20
Hancock Park,,6,34.0745,-118.3304,3/23/20
Hawthorne,,3,33.9194,-118.3540,3/23/20
Hollywood,,14,34.1016,-118.3337,3/23/20
Hollywood Hills,,7,34.1341,-118.3215,3/23/20
Hyde Park,,1,33.9819,-118.3309,3/23/20
Inglewood,,3,33.9610,-118.3554,3/23/20
Koreatown,,3,34.0578,-118.3009,3/23/20
La Canada Flintridge,,2,34.2091,-118.2001,3/23/20
La Mirada,,3,33.9190,-118.0105,3/23/20
La Verne,,2,34.1202,-117.7704,3/23/20
Lake Balboa,,2,34.1839,-118.4954,3/23/20
Lakewood,,1,33.8536,-118.1340,3/23/20
Lancaster,,7,34.6868,-118.1542,3/23/20
Lawndale,,2,33.8881,-118.3535,3/23/20
Lincoln Heights,,1,34.0706,-118.2051,3/23/20
Lomita,,8,33.7922,-118.3151,3/23/20
Los Feliz,,2,34.1124,-118.2851,3/23/20
Lynwood,,2,33.9293,-118.2139,3/23/20
Manhattan Beach,,9,33.8812,-118.4072,3/23/20
Mar Vista,,6,34.0037,-118.4690,3/23/20
Melrose,,19,34.0837,-118.3366,3/23/20
Miracle Mile,,5,34.0597,-118.3500,3/23/20
Monterey Park,,3,34.0625,-118.1228,3/23/20
North Hollywood,,9,34.1870,-118.3813,3/23/20
Northridge,,1,34.2379,-118.5302,3/23/20
Pacific Palisades,,8,34.0481,-118.5265,3/23/20
Palmdale,,1,34.5794,-118.1093,3/23/20
Palms,,2,34.0237,-118.4151,3/23/20
Paramount,,2,33.8895,-118.1598,3/23/20
Park La Brea,,6,34.0702,-118.3497,3/23/20
Playa Vista,,3,33.9728,-118.4276,3/23/20
Rancho Palos Verdes,,1,33.7445,-118.3870,3/23/20
Redondo Beach,,5,33.8492,-118.3884,3/23/20
