,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long
301,West Vernon,255.0,475.36,2020-05-07,2020-05-04,23.0,34.0039,-118.2301
302,West Whittier/Los Nietos,50.0,185.7,2020-05-07,2020-05-04,9.0,33.976,-118.0691
303,Westchester,76.0,147.28,2020-05-07,2020-05-04,5.0,33.9597,-118.4006
304,Westfield/Academy Hills,0.0,0.0,2020-05-07,2020-05-04,0.0,,
305,Westhills,0.0,0.0,2020-05-07,2020-05-04,0.0,,
306,Westlake,334.0,562.72,2020-05-07,2020-05-04,40.0,34.1458,-118.8056
307,Westlake Village,6.0,71.77,2020-05-07,2020-05-04,0.0,34.1466,-118.8074
308,Westwood,55.0,101.65,2020-05-07,2020-05-04,3.0,34.0561,-118.4297
309,White Fence Farms,2.0,54.3,2020-05-07,2020-05-04,0.0,,
310,Whittier,168.0,185.29,2020-05-07,2020-05-04,32.0,33.9679,-118.0189
311,Whittier Narrows,0.0,0.0,2020-05-07,2020-05-04,0.0,,
