,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
189,Park La Brea,22.0,162.0,2020-06-11,2020-06-08,0.0,34.0702,-118.3497,Central L.A.
190,Pearblossom/Llano,4.0,204.5,2020-06-11,2020-06-08,1.0,,,
191,Pellissier Village,1.0,161.55,2020-06-11,2020-06-08,0.0,,,
192,Pico Rivera,665.0,1034.47,2020-06-11,2020-06-08,47.0,33.9831,-118.0967,Southeast
193,Pico-Union,715.0,1708.81,2020-06-11,2020-06-08,33.0,34.0446,-118.277,Central L.A.
194,Placerita Canyon,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
195,Playa Del Rey,4.0,125.16,2020-06-11,2020-06-08,1.0,,,
196,Playa Vista,33.0,301.45,2020-06-11,2020-06-08,1.0,33.9728,-118.4276,Westside
197,Pomona,761.0,485.47,2020-06-11,2020-06-08,78.0,34.0551,-117.75,Pomona Valley
198,Porter Ranch,103.0,289.42,2020-06-11,2020-06-08,6.0,39.4346,-121.0205,
199,Quartz Hill,47.0,364.17,2020-06-11,2020-06-08,0.0,34.6453,-118.2181,Antelope Valley
200,Rancho Dominguez,20.0,751.6,2020-06-11,2020-06-08,0.0,33.8508,-118.2249,Harbor
201,Rancho Palos Verdes,104.0,243.29,2020-06-11,2020-06-08,5.0,33.7445,-118.387,South Bay
202,Rancho Park,20.0,304.88,2020-06-11,2020-06-08,1.0,34.0454,-118.4207,Westside
203,Redondo Beach,154.0,224.17,2020-06-11,2020-06-08,4.0,33.8492,-118.3884,South Bay
204,Regent Square,9.0,323.74,2020-06-11,2020-06-08,4.0,,,
205,Reseda,729.0,951.49,2020-06-11,2020-06-08,16.0,34.2011,-118.536,San Fernando Valley
206,Reseda Ranch,32.0,690.25,2020-06-11,2020-06-08,2.0,34.216,-118.5356,San Fernando Valley
207,Reynier Village,14.0,331.13,2020-06-11,2020-06-08,2.0,34.0368,-118.3856,Central L.A.
208,Rolling Hills,2.0,103.09,2020-06-11,2020-06-08,0.0,,,
209,Rolling Hills Estates,15.0,184.89,2020-06-11,2020-06-08,1.0,33.7878,-118.3581,South Bay
210,Roosevelt,1.0,107.41,2020-06-11,2020-06-08,1.0,,,
211,Rosemead,151.0,272.81,2020-06-11,2020-06-08,8.0,34.0806,-118.0728,San Gabriel Valley
212,Rosewood,8.0,622.08,2020-06-11,2020-06-08,0.0,,,
213,Rosewood/East Gardena,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
214,Rosewood/West Rancho Dominguez,30.0,892.59,2020-06-11,2020-06-08,2.0,34.0057,-118.4304,Westside
215,Rowland Heights,180.0,352.79,2020-06-11,2020-06-08,8.0,33.9761,-117.9053,San Gabriel Valley
216,San Clemente Island,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
217,San Dimas,80.0,231.78,2020-06-11,2020-06-08,3.0,34.1067,-117.8067,San Gabriel Valley
218,San Fernando,235.0,954.82,2020-06-11,2020-06-08,10.0,34.2819,-118.439,San Fernando Valley
219,San Francisquito Canyon/Bouquet Canyon,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
220,San Gabriel,179.0,437.08,2020-06-11,2020-06-08,13.0,34.0968,-118.1057,San Gabriel Valley
221,San Jose Hills,104.0,514.32,2020-06-11,2020-06-08,10.0,34.0592,-117.8426,San Gabriel Valley
222,San Marino,24.0,180.76,2020-06-11,2020-06-08,0.0,34.1214,-118.1065,San Gabriel Valley
223,San Pasqual,1.0,49.14,2020-06-11,2020-06-08,0.0,,,
224,San Pedro,1000.0,1281.43,2020-06-11,2020-06-08,35.0,33.7361,-118.2922,Harbor
225,Sand Canyon,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
226,Santa Catalina Island,2.0,749.06,2020-06-11,2020-06-08,0.0,,,
227,Santa Clarita,864.0,391.97,2020-06-11,2020-06-08,18.0,34.3917,-118.5426,Northwest County
