,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
260,Toluca Lake,13.0,149.36,2020-05-11,2020-05-08,0.0,34.1502,-118.355,San Fernando Valley
261,Toluca Terrace,3.0,229.71,2020-05-11,2020-05-08,1.0,,,
262,Toluca Woods,3.0,161.46,2020-05-11,2020-05-08,0.0,,,
263,Torrance,315.0,211.03,2020-05-11,2020-05-08,4.0,33.8408,-118.3454,South Bay
264,Tujunga,90.0,323.62,2020-05-11,2020-05-08,2.0,34.2633,-118.3027,Verdugos
265,Twin Lakes/Oat Mountain,4.0,241.25,2020-05-11,2020-05-08,0.0,,,
266,University Hills,8.0,233.3,2020-05-11,2020-05-08,1.0,,,
267,University Park,108.0,393.36,2020-05-11,2020-05-08,5.0,34.0315,-118.2797,South L.A.
268,Val Verde,4.0,120.88,2020-05-11,2020-05-08,0.0,,,
269,Valencia,6.0,195.31,2020-05-11,2020-05-08,1.0,,,
270,Valinda,35.0,149.76,2020-05-11,2020-05-08,0.0,34.0433,-117.9331,San Gabriel Valley
271,Valley Glen,100.0,333.16,2020-05-11,2020-05-08,3.0,34.1838,-118.4172,San Fernando Valley
272,Valley Village,170.0,687.7,2020-05-11,2020-05-08,18.0,34.1633,-118.3842,San Fernando Valley
273,Van Nuys,452.0,485.01,2020-05-11,2020-05-08,23.0,34.1899,-118.4514,San Fernando Valley
274,Venice,55.0,162.31,2020-05-11,2020-05-08,3.0,33.9764,-118.4667,
275,Vermont Knolls,77.0,447.67,2020-05-11,2020-05-08,4.0,33.9293,-118.2893,South L.A.
